slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totalsslug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points
bazemke01,Kent Bazemore,SMALL FORWARD,30,PORTLAND TRAIL BLAZERS,43,1111,7.5,0.475,0.525,0.221,1.2,14.8,8.1,7.1,1.9,2.4,14.4,15.9,-1.0,0.8,-0.2,-0.008,-3.6,0.4,-3.2,-0.3,Falsebazemke01,Kent Bazemore,SMALL FORWARD,30,PORTLAND TRAIL BLAZERS,43,21,1111,113,326,56,171,58,72,13,159,61,45,31,60,121,340
bazemke01,Kent Bazemore,SMALL FORWARD,30,SACRAMENTO KINGS,25,577,12.6,0.533,0.351,0.361,2.7,21.6,11.9,8.0,2.4,1.5,11.4,20.4,0.1,0.7,0.8,0.065,-3.0,0.3,-2.8,-0.1,Falsebazemke01,Kent Bazemore,SMALL FORWARD,30,SACRAMENTO KINGS,25,0,577,87,208,28,73,55,75,14,108,32,29,9,31,75,257
bazleda01,Darius Bazley,POWER FORWARD,19,OKLAHOMA CITY THUNDER,61,1130,9.6,0.497,0.445,0.196,3.0,20.5,12.0,5.1,1.0,3.1,11.6,15.1,-0.5,1.5,1.0,0.041,-2.1,0.5,-1.6,0.1,Falsebazleda01,Darius Bazley,POWER FORWARD,19,OKLAHOMA CITY THUNDER,61,9,1130,125,317,49,141,43,62,30,216,41,23,41,45,55,342
bealbr01,Bradley Beal,SHOOTING GUARD,26,WASHINGTON WIZARDS,57,2053,23.2,0.579,0.369,0.351,2.7,10.5,6.4,29.5,1.6,1.0,11.4,34.4,4.5,0.6,5.1,0.118,5.3,-2.4,2.9,2.5,Falsebealbr01,Bradley Beal,SHOOTING GUARD,26,WASHINGTON WIZARDS,57,57,2053,593,1303,170,481,385,457,52,190,347,71,23,194,126,1741
beaslma01,Malik Beasley,SHOOTING GUARD,23,DENVER NUGGETS,41,746,10.5,0.511,0.535,0.126,1.4,10.2,5.8,9.1,2.1,0.7,10.2,20.6,-0.2,0.6,0.5,0.03,-2.2,-0.7,-2.9,-0.2,Falsebeaslma01,Malik Beasley,SHOOTING GUARD,23,DENVER NUGGETS,41,0,746,117,301,58,161,33,38,9,68,48,31,6,36,50,325
beaslma01,Malik Beasley,SHOOTING GUARD,23,MINNESOTA TIMBERWOLVES,14,463,16.2,0.591,0.494,0.12,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.5,0.2,0.8,0.079,1.7,-2.4,-0.7,0.2,Falsebeaslma01,Malik Beasley,SHOOTING GUARD,23,MINNESOTA TIMBERWOLVES,14,14,463,110,233,49,115,21,28,9,62,27,9,2,21,27,290
belinma01,Marco Belinelli,SHOOTING GUARD,33,SAN ANTONIO SPURS,57,883,10.8,0.532,0.567,0.185,0.9,11.2,6.0,10.7,0.6,0.1,5.3,17.5,0.7,0.2,0.8,0.046,-0.7,-2.0,-2.7,-0.2,Falsebelinma01,Marco Belinelli,SHOOTING GUARD,33,SAN ANTONIO SPURS,57,0,883,123,314,67,178,48,58,7,92,69,12,1,19,45,361
belljo01,Jordan Bell,CENTER,25,MINNESOTA TIMBERWOLVES,27,235,14.1,0.57,0.15,0.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,0.2,0.2,0.4,0.072,-1.5,-1.1,-2.6,0.0,Falsebelljo01,Jordan Bell,CENTER,25,MINNESOTA TIMBERWOLVES,27,0,235,32,60,2,9,17,29,28,50,14,2,10,18,17,83
belljo01,Jordan Bell,CENTER,25,MEMPHIS GRIZZLIES,2,21,12.6,0.635,0.429,0.286,10.2,4.9,7.5,12.9,2.2,0.0,27.6,21.6,0.0,0.0,0.0,0.047,-0.5,-1.0,-1.5,0.0,Falsebelljo01,Jordan Bell,CENTER,25,MEMPHIS GRIZZLIES,2,0,21,3,7,2,3,2,2,2,1,2,1,0,3,2,10
bembrde01,DeAndre' Bembry,SHOOTING GUARD,25,ATLANTA HAWKS,43,915,9.6,0.5,0.285,0.211,4.0,14.1,8.9,12.3,2.8,1.7,19.4,14.0,-0.5,0.8,0.2,0.012,-3.5,1.1,-2.5,-0.1,Falsebembrde01,DeAndre' Bembry,SHOOTING GUARD,25,ATLANTA HAWKS,43,4,915,104,228,15,65,26,48,34,118,81,55,19,60,84,249
bendedr01,Dragan Bender,CENTER,22,MILWAUKEE BUCKS,7,91,8.4,0.582,0.429,0.143,0.0,20.5,10.9,12.5,0.0,4.8,18.3,12.4,0.0,0.2,0.2,0.105,-4.4,3.0,-1.4,0.0,Falsebendedr01,Dragan Bender,CENTER,22,MILWAUKEE BUCKS,7,0,91,10,21,4,9,2,3,0,20,9,0,5,5,16,26
