Name,Position,Score
Justin Jackson,SMALL FORWARD,483.2242
Otto Porter,SMALL FORWARD,483.21045000000004
Kosta Koufos,CENTER,478.10384999999997
Semi Ojeleye,POWER FORWARD,469.25154999999995
Glenn Robinson,SMALL FORWARD,465.14554999999996
Kyle O'Quinn,CENTER,460.17685000000006
Mike Scott,POWER FORWARD,460.11185
Cameron Payne,POINT GUARD,458.05460000000005
Jevon Carter,POINT GUARD,453.26160000000004
JaMychal Green,POWER FORWARD,448.475
Wayne Ellington,SHOOTING GUARD,447.64235
Isaiah Briscoe,POINT GUARD,442.36775
Trey Burke,POINT GUARD,440.3637
Omri Casspi,SMALL FORWARD,440.25030000000004
Boban Marjanović,CENTER,436.8633
Alex Caruso,POINT GUARD,435.86345000000006
Austin Rivers,SHOOTING GUARD,435.7845
Tyler Dorsey,SHOOTING GUARD,434.43705
Rodney Hood,SHOOTING GUARD,431.84745
Frank Mason,POINT GUARD,430.5801
C.J. Miles,SMALL FORWARD,428.1192
Justin Anderson,SMALL FORWARD,424.1808
Avery Bradley,SHOOTING GUARD,420.57825
Salah Mejri,CENTER,418.69795
Nenê Hilário,CENTER,414.31260000000003
Hamidou Diallo,SHOOTING GUARD,414.10985000000005
Timothé Luwawu-Cabarrot,SMALL FORWARD,404.33074999999997
Greg Monroe,CENTER,402.04935
Ryan Broekhoff,SHOOTING GUARD,397.18105
Pau Gasol,CENTER,396.67719999999997
Thon Maker,CENTER,396.1123
Moritz Wagner,CENTER,393.32665000000003
Markelle Fultz,SHOOTING GUARD,384.8776
Ekpe Udoh,CENTER,382.99490000000003
Kadeem Allen,SHOOTING GUARD,382.6087
Chandler Parsons,SMALL FORWARD,377.6792
Isaiah Canaan,POINT GUARD,375.67575
Reggie Bullock,SHOOTING GUARD,374.51225
Boban Marjanović,CENTER,372.11315
Jaylen Adams,POINT GUARD,370.9737
Thon Maker,POWER FORWARD,370.1707
Ian Mahinmi,CENTER,365.85155000000003
Raymond Felton,POINT GUARD,364.44525
Álex Abrines,SHOOTING GUARD,360.86535
Brad Wanamaker,POINT GUARD,360.67985
Jimmy Butler,SHOOTING GUARD,360.12395000000004
Markieff Morris,POWER FORWARD,357.84875
Damian Jones,CENTER,350.676
Channing Frye,CENTER,346.9612
Jarell Martin,POWER FORWARD,346.90139999999997
