Name,Position,Score
Sekou Doumbouya,POWER FORWARD,507.9587
Luke Kornet,CENTER,504.88194999999996
Wilson Chandler,POWER FORWARD,501.27655000000004
Shaquille Harrison,SHOOTING GUARD,500.95795
Keita Bates-Diop,POWER FORWARD,500.08674999999994
Dwayne Bacon,SHOOTING GUARD,498.28594999999996
Yogi Ferrell,POINT GUARD,495.4864
Malik Beasley,SHOOTING GUARD,491.66454999999996
Trevor Ariza,SMALL FORWARD,487.57214999999997
Rodney Hood,SMALL FORWARD,476.62625
Skal Labissière,CENTER,472.62940000000003
Blake Griffin,POWER FORWARD,470.1088
Quinn Cook,POINT GUARD,468.63045
Victor Oladipo,SHOOTING GUARD,467.1453
Wayne Ellington,SHOOTING GUARD,457.31545
Jahlil Okafor,CENTER,454.87210000000005
Treveon Graham,SMALL FORWARD,454.35235
Dennis Smith Jr.,POINT GUARD,453.9249500000001
Cheick Diallo,CENTER,452.4344
D'Angelo Russell,POINT GUARD,450.76765
Nassir Little,POWER FORWARD,448.00025
Matt Thomas,SHOOTING GUARD,444.7975
Kent Bazemore,SMALL FORWARD,440.04165
Daniel Gafford,CENTER,439.65430000000003
Brandon Goodwin,POINT GUARD,431.97535
Reggie Jackson,POINT GUARD,430.8896
Goga Bitadze,CENTER,428.90115000000003
Jeff Teague,POINT GUARD,426.0956
Chandler Hutchison,SMALL FORWARD,413.86105
Dewayne Dedmon,CENTER,410.50385
Kelan Martin,SMALL FORWARD,406.7853
Marcus Morris,POWER FORWARD,406.08615000000003
Anthony Tolliver,POWER FORWARD,405.58574999999996
Marko Guduric,SHOOTING GUARD,404.4607
Gary Payton II,SMALL FORWARD,403.04864999999995
Javonte Green,SHOOTING GUARD,401.2382
Shabazz Napier,POINT GUARD,399.52864999999997
Alfonzo McKinnie,SMALL FORWARD,395.13464999999997
Džanan Musa,SMALL FORWARD,394.3992
John Henson,CENTER,393.16695
Tyler Johnson,POINT GUARD,391.65405
Jeff Green,POWER FORWARD,390.51115
Willy Hernangómez,CENTER,390.4538
Jerome Robinson,SHOOTING GUARD,389.0808
Troy Daniels,SHOOTING GUARD,388.91135
JaKarr Sampson,POWER FORWARD,385.55075
PJ Dozier,SHOOTING GUARD,384.56975
Alec Burks,SHOOTING GUARD,383.3947
Andrew Wiggins,SMALL FORWARD,383.1271
Juan Hernangómez,POWER FORWARD,383.0938
Kyle O'Quinn,CENTER,375.2822
Jeff Green,CENTER,372.7891
Edmond Sumner,SHOOTING GUARD,370.77455
Robert Williams,CENTER,366.7514
Jerome Robinson,SHOOTING GUARD,365.70615
D.J. Wilson,POWER FORWARD,363.22875
James Ennis,SHOOTING GUARD,362.9933
Terance Mann,SMALL FORWARD,359.74225
Allen Crabbe,SHOOTING GUARD,354.9791
Tim Frazier,POINT GUARD,354.6882
Nicolas Batum,SMALL FORWARD,354.31315
Thabo Sefolosha,POWER FORWARD,346.89435
Trey Burke,POINT GUARD,346.66225
Reggie Jackson,SHOOTING GUARD,345.41435
Chris Silva,POWER FORWARD,343.86255
Josh Jackson,SMALL FORWARD,339.39235
Chris Clemons,SHOOTING GUARD,337.4574
Jake Layman,SMALL FORWARD,331.92719999999997
Theo Pinson,SHOOTING GUARD,324.8535
Noah Vonleh,CENTER,324.38025
Otto Porter,SMALL FORWARD,322.7375
James Johnson,CENTER,319.9744
Jared Dudley,POWER FORWARD,319.0579
Juan Hernangómez,POWER FORWARD,317.1721
Carsen Edwards,SHOOTING GUARD,313.3422
Marvin Bagley III,CENTER,308.3306
Anžejs Pasečņiks,CENTER,305.81755
Andre Iguodala,SMALL FORWARD,301.77535
Ty Jerome,SHOOTING GUARD,300.19124999999997
Chris Chiozza,POINT GUARD,296.06155
Deonte Burton,SMALL FORWARD,281.26980000000003
Admiral Schofield,POWER FORWARD,281.1551
Dante Exum,SHOOTING GUARD,278.82959999999997
Justise Winslow,SHOOTING GUARD,278.622
Jusuf Nurkić,CENTER,274.30335
Isaiah Hartenstein,CENTER,262.5787
Allonzo Trier,SHOOTING GUARD,261.25600000000003
Courtney Lee,SHOOTING GUARD,260.22645
Gary Clark,SMALL FORWARD,260.20855
Jacob Evans,SHOOTING GUARD,259.83195
Gorgui Dieng,CENTER,254.11915
Keldon Johnson,SMALL FORWARD,253.10555
Justin James,SMALL FORWARD,251.98384999999996
T.J. Leaf,POWER FORWARD,246.16755
Drew Eubanks,CENTER,241.6941
Ed Davis,CENTER,239.35944999999998
Cristiano Felício,CENTER,238.12355000000002
Andre Drummond,CENTER,236.52864999999997
James Johnson,POWER FORWARD,232.70735000000002
Caleb Martin,SMALL FORWARD,230.32475
Al-Farouq Aminu,POWER FORWARD,229.68475
Marvin Williams,POWER FORWARD,226.0083
Jordan Bell,CENTER,223.70349999999996
Zach Collins,POWER FORWARD,221.3469
Glenn Robinson III,SMALL FORWARD,220.2799
Romeo Langford,SHOOTING GUARD,218.7167
Kevon Looney,CENTER,218.67015
Dewayne Dedmon,CENTER,216.89815
Maurice Harkless,SMALL FORWARD,210.61180000000002
Ante Žižić,CENTER,210.36984999999999
Caleb Swanigan,POWER FORWARD,208.34525000000002
David Nwaba,SHOOTING GUARD,208.19635
Alex Len,CENTER,208.172
Juan Toscano-Anderson,SHOOTING GUARD,207.31645
Brandon Knight,POINT GUARD,206.6088
Treveon Graham,SMALL FORWARD,206.1889
Jalen McDaniels,SMALL FORWARD,205.81369999999998
Gary Clark,POWER FORWARD,199.3932
Brandon Knight,SHOOTING GUARD,195.21155000000002
John Konchar,SHOOTING GUARD,195.08065
Ryan Broekhoff,SMALL FORWARD,194.2534
Tyler Johnson,SHOOTING GUARD,193.4376
Trey Burke,POINT GUARD,189.14265
Tyson Chandler,CENTER,187.01585
Bruno Caboclo,CENTER,183.74705
Stephen Curry,POINT GUARD,183.57285000000002
Stanley Johnson,POWER FORWARD,183.1227
Dragan Bender,POWER FORWARD,182.51170000000002
Willie Cauley-Stein,CENTER,180.6092
Cameron Payne,SHOOTING GUARD,180.13060000000002
Markieff Morris,POWER FORWARD,179.4358
Norvel Pelle,CENTER,179.2513
Derrick Walton,POINT GUARD,177.97629999999998
Johnathan Williams,POWER FORWARD,174.5983
Evan Turner,SHOOTING GUARD,173.3912
Garrison Mathews,SHOOTING GUARD,172.59455
John Henson,CENTER,166.8385
Nicolas Claxton,CENTER,162.50885
Anthony Tolliver,POWER FORWARD,161.5101
Malcolm Miller,SMALL FORWARD,159.4069
Vincent Poirier,CENTER,148.06124999999997
Thanasis Antetokounmpo,SMALL FORWARD,146.57479999999998
Mychal Mulder,SMALL FORWARD,145.97165
Amir Coffey,SHOOTING GUARD,145.52465
Frank Mason III,POINT GUARD,142.4065
Iman Shumpert,SMALL FORWARD,138.69515
Chimezie Metu,CENTER,137.87539999999998
Jaylen Nowell,SHOOTING GUARD,136.75854999999999
Alize Johnson,POWER FORWARD,134.92045000000002
Wenyen Gabriel,POWER FORWARD,133.5003
Juwan Morgan,POWER FORWARD,130.2674
Michael Kidd-Gilchrist,POWER FORWARD,125.71605
Jeremiah Martin,POINT GUARD,125.27705
Rayjon Tucker,SHOOTING GUARD,123.0292
Alen Smailagić,CENTER,122.09550000000002
C.J. Miles,SMALL FORWARD,121.2886
Dion Waiters,SHOOTING GUARD,120.99090000000001
DaQuan Jeffries,SHOOTING GUARD,119.29929999999999
Chris Chiozza,POINT GUARD,119.18485000000001
Yuta Watanabe,SMALL FORWARD,118.024
Oshae Brissett,SMALL FORWARD,117.53289999999998
Kadeem Allen,POINT GUARD,115.10059999999999
Melvin Frazier,SHOOTING GUARD,111.15295
DeMarre Carroll,CENTER,110.2839
DeMarre Carroll,SMALL FORWARD,104.79185000000001
Jaylen Hoard,POWER FORWARD,103.5152
Tyrone Wallace,SHOOTING GUARD,102.93945
Solomon Hill,POWER FORWARD,100.75855
Jabari Parker,POWER FORWARD,99.2419
Justin Anderson,SHOOTING GUARD,95.9976
Mfiondu Kabengele,CENTER,94.5657
Amile Jefferson,POWER FORWARD,91.0436
Miye Oni,SMALL FORWARD,90.04560000000001
Tremont Waters,POINT GUARD,88.47905
Adam Mokoka,SMALL FORWARD,84.6919
Jarrell Brantley,POWER FORWARD,83.0058
Johnathan Motley,POWER FORWARD,80.4837
Dragan Bender,CENTER,78.8341
Devon Hall,POINT GUARD,77.51490000000001
Dean Wade,POWER FORWARD,76.79220000000001
Andre Roberson,SMALL FORWARD,75.99175
Allen Crabbe,SMALL FORWARD,74.6208
Kevin Hervey,POWER FORWARD,73.27074999999999
Paul Watson,SMALL FORWARD,72.84875
Lance Thomas,POWER FORWARD,71.54925
Michael Kidd-Gilchrist,POWER FORWARD,71.37475
Gabe Vincent,POINT GUARD,71.26485
Louis King,SMALL FORWARD,71.2024
Bol Bol,POWER FORWARD,70.31085
Vlatko Čančar,POWER FORWARD,67.39535000000001
Jordan McRae,SHOOTING GUARD,67.2373
Michael Frazier,SHOOTING GUARD,67.1992
Keita Bates-Diop,SMALL FORWARD,66.19355
Donta Hall,CENTER,66.18545
